BranchID,FromBus,ToBus,PowerFlow_MW,RateA_MVA,Loading_%
1,1,2,-68.5653603998111,175,39.1802059427492
2,1,3,-133.888246333735,175,76.507569333563
3,1,5,118.453606733546,175,67.6877752763122
4,2,4,-15.3641818357015,175,8.77953247754369
5,2,6,-11.0704577644875,175,6.32597586542142
6,3,9,0,175,0
7,3,24,313.888246333735,400,78.4720615834338
8,4,9,89.3641818357015,175,51.065246763258
9,5,10,-47.4536067335463,175,27.1163467048836
10,6,10,147.070457764488,175,84.0402615797071
11,7,8,-175,175,100
12,8,9,174.660172664473,175,99.8058129511274
13,8,10,171.339827335527,175,97.9084727631583
14,9,11,88.0134318500938,400,22.0033579625234
15,9,12,-177.037786350268,400,44.2594465875671
16,10,11,94.5472699169469,400,23.6368174792367
17,10,12,-170.503948283415,400,42.6259870708538
18,11,13,-396.590306796327,500,79.3180613592655
19,11,14,214.029605029287,500,42.8059210058574
20,12,13,70.5903067963275,500,14.1180613592655
21,12,23,276.951427837356,500,55.3902855674712
22,13,23,0,500,0
23,14,16,-20.0296050292868,500,4.00592100585737
24,15,16,437.581032866643,500,87.5162065733286
25,15,21,22.2268033667731,500,4.44536067335461
26,15,21,22.2268033667731,500,4.44536067335461
27,15,24,-313.888246333735,500,62.777649266747
28,16,17,0,500,0
29,16,19,-472.551427837356,500,94.5102855674712
30,17,18,121.498997421942,500,24.2997994843884
31,17,22,-121.498997421942,500,24.2997994843884
32,18,21,-94.249498710971,500,18.8498997421942
33,18,21,-94.249498710971,500,18.8498997421942
34,19,20,326.775713918678,500,65.3551427837356
35,19,20,326.775713918678,500,65.3551427837356
36,20,23,-262.775713918678,500,52.5551427837356
37,20,23,-262.775713918678,500,52.5551427837356
38,21,22,-178.501002578058,500,35.7002005156116
