BranchID,FromBus,ToBus,PowerFlow_MW,RateA_MVA,Loading_%
1,1,2,-50.4193108267917,175,28.8110347581667
2,1,3,-39.6419828856667,175,22.6525616489524
3,1,5,135.661293712458,175,77.5207392642619
4,2,4,95.7894508213483,175,54.7368290407705
5,2,6,-13.4858136548721,175,7.70617923135546
6,3,9,147.466518771867,175,84.2665821553524
7,3,24,72.1754641138001,400,18.04386602845
8,4,9,-21.7894508213483,175,12.4511147550562
9,5,10,-64.6612937124584,175,36.9493106928334
10,6,10,149.485813654872,175,85.4204649456412
11,7,8,50,175,28.5714285714286
12,8,9,70.8644514370281,175,40.4939722497303
13,8,10,50.1355485629719,175,28.6488848931268
14,9,11,-118.348727208408,400,29.5871818021019
15,9,12,96.8072078208611,400,24.2018019552153
16,10,11,-77.5580017673272,400,19.3895004418318
17,10,12,137.597933261942,400,34.3994833154854
18,11,13,200.64863982738,500,40.1297279654761
19,11,14,-4.74191085164557,500,0.948382170329113
20,12,13,-178.586296075049,500,35.7172592150098
21,12,23,-55.8188450077534,500,11.1637690015507
22,13,23,35.9376562476689,500,7.18753124953379
23,14,16,198.741910851646,500,39.7483821703291
24,15,16,309.276182251035,500,61.8552364502071
25,15,21,13.5992818627651,500,2.71985637255302
26,15,21,0,500,0
27,15,24,-72.1754641138001,500,14.43509282276
28,16,17,-286.599281862765,500,57.319856372553
29,16,19,-175.718811239916,500,35.1437622479831
30,17,18,286.599281862765,500,57.319856372553
31,17,22,0,500,0
32,18,21,-53.5992818627651,500,10.719856372553
33,18,21,0,500,0
34,19,20,356.718811239916,500,71.3437622479831
35,19,20,0,500,0
36,20,23,-228.718811239916,500,45.7437622479831
37,20,23,0,500,0
38,21,22,-60,500,12
