BranchID,FromBus,ToBus,PowerFlow_MW,RateA_MVA,Loading_%
1,1,2,-94.9228260159583,175,54.2416148662619
2,1,3,13.4877752853519,175,7.7073001630582
3,1,5,37.9824191516591,175,21.7042395152337
4,2,4,30.8310931873833,175,17.6177675356476
5,2,6,6.32290882051804,175,3.61309075458173
6,3,9,-17.7533577884364,175,10.1447758791065
7,3,24,35.8445298715056,400,8.9611324678764
8,4,9,-17.8486370470324,175,10.1992211697328
9,5,10,-25.5262788007819,175,14.5864450290182
10,6,10,17.536740302289,175,10.0209944584508
11,7,8,-53.0701754385965,175,30.3258145363409
12,8,9,40.8701106243141,175,23.3543489281795
13,8,10,42.2000648142824,175,24.1143227510185
14,9,11,93.316028242013,400,23.3290070605033
15,9,12,-67.8823896448936,400,16.9705974112234
16,10,11,0,400,0
17,10,12,0,400,0
18,11,13,-140.527638721385,500,28.1055277442769
19,11,14,47.2116104793715,500,9.44232209587431
20,12,13,143.601505411209,500,28.7203010822418
21,12,23,-75.7191157663156,500,15.1438231532631
22,13,23,-163.582638619649,500,32.7165277239298
23,14,16,-13.1765227600733,500,2.63530455201466
24,15,16,0,500,0
25,15,21,25.1585649592249,500,5.03171299184498
26,15,21,0,500,0
27,15,24,-35.8445298715056,500,7.16890597430112
28,16,17,-23.5796175908038,500,4.71592351816076
29,16,19,0,500,0
30,17,18,49.7741573955267,500,9.95483147910535
31,17,22,-26.1945398047229,500,5.23890796094458
32,18,21,-45.6765523819739,500,9.13531047639478
33,18,21,-45.6765523819752,500,9.13531047639503
34,19,20,15.8771929824566,500,3.17543859649131
35,19,20,15.8771929824558,500,3.17543859649116
36,20,23,-4.64912280701806,500,0.929824561403612
37,20,23,-4.64912280701711,500,0.929824561403423
38,21,22,-33.8054601952771,500,6.76109203905541
