Bus,Gen_MW,Load_MW,Margin_MW,Status
1,62.4,18.9473684210526,43.4526315789474,送端(供电富余)
2,74.7863678677061,17.0175438596491,57.768824008057,送端(供电富余)
3,0,31.5789473684211,-31.5789473684211,受端(纯负荷)
4,0,12.9824561403509,-12.9824561403509,受端(纯负荷)
5,0,12.4561403508772,-12.4561403508772,受端(纯负荷)
6,0,23.859649122807,-23.859649122807,受端(纯负荷)
7,75,21.9298245614035,53.0701754385965,送端(供电富余)
8,0,30,-30,受端(纯负荷)
9,0,30.7017543859649,-30.7017543859649,受端(纯负荷)
10,0,34.2105263157895,-34.2105263157895,受端(纯负荷)
11,0,0,0,本地平衡
12,0,0,0,本地平衡
13,207,46.4912280701754,160.508771929825,送端(供电富余)
14,0,34.0350877192982,-34.0350877192982,受端(纯负荷)
15,66.3,55.6140350877193,10.6859649122807,本地平衡
16,54.3,17.5438596491228,36.7561403508772,送端(供电富余)
17,0,0,0,本地平衡
18,100,58.4210526315789,41.5789473684211,送端(供电富余)
19,0,31.7543859649123,-31.7543859649123,受端(纯负荷)
20,0,22.4561403508772,-22.4561403508772,受端(纯负荷)
21,100,0,100,送端(供电富余)
22,60,0,60,送端(供电富余)
23,248.6,0,248.6,送端(供电富余)
24,0,0,0,本地平衡
