Sample,LOLP,EENS,SAIFI,SAIDI,Cost
1,0,0,0,0,108648
21,0,0,0,0,108648
41,0,0,0,0,108648
61,0,0,0,0,108648
81,0,0,0,0,108648
101,0,0,0,0,108648
121,0,0,0,0,108648
141,0,0,0,0,108648
161,0,0,0,0,108648
181,0,0,0,0,108648
201,0,0,0,0,108648
221,0,0,0,0,108648
241,0,0,0,0,108648
261,0,0,0,0,108648
281,0,0,0,0,108648
301,0,0,0,0,108648
321,0,0,0,0,108648
341,0,0,0,0,108648
361,0,0,0,0,108648
381,0,0,0,0,108648
401,0,0,0,0,108648
421,0,0,0,0,94648.0000000001
441,0,0,0,0,108648
461,0,0,0,0,108648
481,0,0,0,0,108648
501,0,0,0,0,108648
521,0,0,0,0,108648
541,0,0,0,0,108648
561,0,0,0,0,108648
581,0,0,0,0,108648
601,0,0,0,0,108648
621,0,0,0,0,108648
641,0,0,0,0,108648
661,0,0,0,0,108648
681,0,0,0,0,108648
701,0,0,0,0,108648
721,0,0,0,0,108648
741,0,0,0,0,108648
761,0,0,0,0,108648
781,0,0,0,0,108648
801,0,0,0,0,108648
821,0,0,0,0,108648
841,0,0,0,0,108648
861,0,0,0,0,108648
881,0,0,0,0,108648
901,0,0,0,0,108648
921,0,0,0,0,108648
941,0,0,0,0,108648
961,0,0,0,0,108648
981,0,0,0,0,108648
1001,0,0,0,0,108648
1021,0,0,0,0,108648
1041,0,0,0,0,108648
1061,0,0,0,0,108648
1081,0,0,0,0,108648
1101,0,0,0,0,108648
1121,0,0,0,0,108648
1141,0,0,0,0,108648
1161,0,0,0,0,108648
1181,0,0,0,0,108648
1201,0,0,0,0,108648
1221,0,0,0,0,108648
1241,0,0,0,0,108648
1261,0,0,0,0,103223
1281,0,0,0,0,108648
1301,0,0,0,0,108648
1321,0,0,0,0,108648
1341,0,0,0,0,108648
1361,0,0,0,0,108648
1381,0,0,0,0,108648
1401,0,0,0,0,108648
1421,0,0,0,0,108648
1441,0,0,0,0,108648
1461,0,0,0,0,108648
1481,0,0,0,0,108648
1501,0,0,0,0,108648
1521,0,0,0,0,108648
1541,0,0,0,0,108648
1561,0,0,0,0,108648
1581,0,0,0,0,108648
1601,0,0,0,0,108648
1621,0,0,0,0,108648
1641,0,0,0,0,106898
1661,0,0,0,0,108648
1681,0,0,0,0,108648
1701,0,0,0,0,108648
1721,0,0,0,0,108648
1741,0,0,0,0,108648
1761,0,0,0,0,108648
1781,0,0,0,0,108648
1801,0,0,0,0,108648
1821,0,0,0,0,108648
1841,0,0,0,0,108648
1861,0,0,0,0,108648
1881,0,0,0,0,108648
1901,0,0,0,0,108648
1921,0,0,0,0,108648
1941,0,0,0,0,108648
1961,0,0,0,0,108648
1981,0,0,0,0,108648
2001,0,0,0,0,108648
2021,0,0,0,0,108648
2041,0,0,0,0,108648
